Белгород;Belgorod;4
Иваново;Ivanovo;5
Калуга;Kaluga;6
Кострома;Kostroma;7
Курск;Kursk;8
Липецк;Lipetsk;9
Рязань;Ryazan;11
Смоленск;Smolensk;12
Тамбов;Tambov;13
Тверь;Tver;14
Тула;Tula;15
Петрозаводск;Petrozavodsk;18
Сыктывкар;Syktyvkar;19
Архангельск;Arkhangelsk;20
Вологда;Vologda;21
Калининград;Kaliningrad;22
Мурманск;Murmansk;23
Великий Новгород;Veliky Novgorod;24
Псков;Pskov;25
Москва;Moscow;213
Санкт-Петербург;Saint-Petersburg;2
Махачкала;Makhachkala;28
Нальчик;Nalchik;30
Владикавказ;Vladikavkaz;33
Краснодар;Krasnodar;35
Ставрополь;Stavropol;36
Астрахань;Astrakhan;37
Волгоград;Volgograd;38
Ростов-на-Дону;Rostov-on-Don;39
Йошкар-Ола;Yoshkar-Ola;41
Саранск;Saransk;42
Казань;Kazan;43
Ижевск;Izhevsk;44
Чебоксары;Cheboksary;45
Киров;Kirov;46
Нижний Новгород;Nizhny Novgorod;47
Оренбург;Orenburg;48
Пенза;Penza;49
Самара;Samara;51
Тюмень;Tyumen;55
Челябинск;Chelyabinsk;56
Ханты-Мансийск;Khanty-Mansiysk;57
Салехард;Salekhard;58
Красноярск;Krasnoyarsk;62
Иркутск;Irkutsk;63
Кемерово;Kemerovo;64
Новосибирск;Novosibirsk;65
Омск;Omsk;66
Томск;Tomsk;67
Чита;Chita;68
Якутск;Yakutsk;74
Владивосток;Vladivostok;75
Хабаровск;Khabarovsk;76
Благовещенск;Blagoveshchensk;77
Петропавловск-Камчатский;Petropavlovsk-Kamchatsky;78
Магадан;Magadan;79
Южно-Сахалинск;Yuzhno-Sakhalinsk;80
Донецк;Donetsk;142
Симферополь;Simferopol;146
Уфа;Ufa;172
Брянск;Bryansk;191
Воронеж;Voronezh;193
Саратов;Saratov;194
Ульяновск;Ulyanovsk;195
Барнаул;Barnaul;197
Улан-Удэ;Ulan-Ude;198
Долгопрудный;Dolgoprudny;214
Дубна;Dubna;215
Пущино;Pushchino;217
Черноголовка;Chernogolovka;219
Магнитогорск;Magnitogorsk;235
Набережные Челны;Naberezhnye Chelny;236
Новокузнецк;Novokuznetsk;237
Новочеркасск;Novocherkassk;238
Сочи;Sochi;239
Тольятти;Tolyatti;240
Севастополь;Sevastopol;959
Обнинск;Obninsk;967
Череповец;Cherepovets;968
Выборг;Vyborg;969
Новороссийск;Novorossiysk;970
Таганрог;Taganrog;971
Дзержинск;Dzerzhinsk;972
Сургут;Surgut;973
Находка;Nakhodka;974
Бийск;Biysk;975
Братск;Bratsk;976
Туапсе;Tuapse;1058
Нижневартовск;Nizhnevartovsk;1091
Назрань;Nazran;1092
Майкоп;Maykop;1093
Элиста;Elista;1094
Абакан;Abakan;1095
Черкесск;Cherkessk;1104
Грозный;Grozny;1106
Анапа;Anapa;1107
Армавир;Armavir;10257
Рузаевка;Ruzaevka;10301
Димитровград;Dimitrovgrad;10383
Губкин;Gubkin;10646
Новый Оскол;Novy Oskol;10647
Старый Оскол;Stary Oskol;10649
Дятьково;Dyatkovo;10651
Жуковка;Zhukovka;10652
Клинцы;Klintsy;10653
Новозыбков;Novozybkov;10654
Карачев;Karachev;10655
Александров;Alexandrov;10656
Вязники;Vyazniki;10659
Гороховец;Gorokhovets;10660
Гусь-Хрустальный;Gus-Khrustalny;10661
Камешково;Kameshkovo;10662
Киржач;Kirzhach;10663
Ковров;Kovrov;10664
Кольчугино;Kolchugino;10665
Меленки;Melenki;10667
Собинка;Sobinka;10670
Суздаль;Suzdal;10671
Бобров;Bobrov;10673
Богучар;Boguchar;10674
