Белгород;c4
Иваново;c5
Калуга;c6
Кострома;c7
Курск;c8
Липецк;c9
Рязань;c11
Смоленск;c12
Тамбов;c13
Тверь;c14
Тула;c15
Петрозаводск;c18
Сыктывкар;c19
Архангельск;c20
Вологда;c21
Калининград;c22
Мурманск;c23
Великий-Новгород;c24
Псков;c25
Москва;c213
Санкт-Петербург;c2
Махачкала;c28
Нальчик;c30
Владикавказ;c33
Краснодар;c35
Ставрополь;c36
Астрахань;c37
Волгоград;c38
Ростов-на-Дону;c39
Йошкар-Ола;c41
Саранск;c42
Казань;c43
Ижевск;c44
Чебоксары;c45
Киров;c46
Нижний Новгород;c47
Оренбург;c48
Пенза;c49
Самара;c51
Тюмень;c55
Челябинск;c56
Ханты-Мансийск;c57
Салехард;c58
Красноярск;c62
Иркутск;c63
Кемерово;c64
Новосибирск;c65
Омск;c66
Томск;c67
Чита;c68
Якутск;c74
Владивосток;c75
Хабаровск;c76
Благовещенск;c77
Петропавловск-Камчатский;c78
Магадан;c79
Южно-Сахалинск;c80
Донецк;c142
Симферополь;c146
Уфа;c172
Брянск;c191
Воронеж;c193
Саратов;c194
Ульяновск;c195
Барнаул;c197
Улан-Удэ;c198
Долгопрудный;c214
Дубна;c215
Пущино;c217
Черноголовка;c219
Магнитогорск;c235
Набережные Челны;c236
Новокузнецк;c237
Новочеркасск;c238
Сочи;c239
Тольятти;c240
Севастополь;c959
Обнинск;c967
Череповец;c968
Выборг;c969
Новороссийск;c970
Таганрог;c971
Дзержинск;c972
Сургут;c973
Находка;c974
Бийск;c975
Братск;c976
Туапсе;c1058
Нижневартовск;c1091
Назрань;c1092
Майкоп;c1093
Элиста;c1094
Абакан;c1095
Черкесск;c1104
Грозный;c1106
Анапа;c1107
Армавир;c10257
Рузаевка;c10301
Димитровград;c10383
Губкин;c10646
Новый Оскол;c10647
Старый Оскол;c10649
Дятьково;c10651
Жуковка;c10652
Клинцы;c10653
Новозыбков;c10654
Карачев;c10655
Александров;c10656
Вязники;c10659
Гороховец;c10660
Гусь-Хрустальный;c10661
Камешково;c10662
Киржач;c10663
Ковров;c10664
Кольчугино;c10665
Меленки;c10667
Собинка;c10670
Суздаль;c10671
Бобров;c10673
Богучар;c10674
Борисоглебск;c10675
Бутурлиновка;c10676
Калач;c10677
Лиски;c10678
Острогожск;c10679
Павловск;c10680
Россошь;c10681
Семилуки;c10682
Эртиль;c10683
Вичуга;c10688
Кинешма;c10689
Кохма;c10690
Шуя;c10691
Юрьевец;c10692
Козельск;c10695
Кондрово;c10696
Малоярославец;c10697
Боровск;c10698
Волгореченск;c10701
Нерехта;c10702
Галич;c10703
Шарья;c10704
Рыльск;c10707
Обоянь;c10709
Железногорск;c10710
Фатеж;c10711
Чаплыгин;c10714
Балашиха;c10716
Бронницы;c10717
Волоколамск;c10721
Воскресенск;c10722
Дмитров;c10723
Домодедово;c10725
Егорьевск;c10727
Зарайск;c10728
Истра;c10731
Кашира;c10732
Коломна;c10734
Красногорск;c10735
Луховицы;c10737
Люберцы;c10738
Можайск;c10739
Мытищи;c10740
Наро-Фоминск;c10741
Ногинск;c10742
Одинцово;c10743
Орехово-Зуево;c10745
Павловский Посад;c10746
Подольск;c10747
Пушкино;c10748
Раменское;c10750
Руза;c10751
Сергиев Посад;c10752
Серпухов;c10754
Солнечногорск;c10755
Ступино;c10756
Талдом;c10757
Химки;c10758
Чехов;c10761
Шатура;c10762
Щелково;c10765
Болхов;c10768
Ливны;c10769
Мценск;c10770
Новосиль;c10771
Касимов;c10773
Ряжск;c10775
Сасово;c10777
Скопин;c10778
Спас-Клепики;c10779
Шацк;c10780
Велиж;c10781
Вязьма;c10782
Гагарин;c10783
Демидов;c10784
Десногорск;c10785
